,id_lead,idade,genero,cidade_atual,escolaridade_atual,ocupacao_pais,origem_lead
0,USR1001,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media
1,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals
2,USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals
3,USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals
4,USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals
5,USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals
6,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media
7,USR1008,20,MALE,Hyderabad,B.Tech,Business,website
8,USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website
9,USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website
10,USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website
11,USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media
12,USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO
13,USR1014,22,MALE,Hyderabad,Looking for Job,IT Employee,SEO
14,USR1015,25,FEMALE,Hyderabad,10th Completed,Government Employee,SEO
15,USR1016,18,MALE,Hyderabad,B.Tech,Business,SEO
16,USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media
17,USR1018,211,MALE,Hyderabad,Degree,IT Employee,social_media
18,USR1019,22,FEMALE,Bengaluru,Looking for Job,Government Employee,social_media
19,USR1020,25,MALE,Kochi,10th Completed,Doctor,social_media
20,USR1021,18,FEMALE,Hyderabad,B.Tech,Professor/Faculty,social_media
21,USR1022,24,FEMALE,Hyderabad,Looking for Job,Business,social_media
22,USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media
23,USR1024,22,FEMALE,Kochi,Looking for Job,IT Employee,social_media
24,USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing
25,USR1026,18,MALE,Kochi,B.Tech,Business,SEO
26,USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO
27,USR1028,18,FEMALE,Hyderabad,B.Tech,IT Employee,user_referrals
28,USR1029,24,FEMALE,Hyderabad,Looking for Job,Government Employee,social_media
29,USR1030,21,FEMALE,Kochi,Degree,Government Employee,email_marketing
30,USR1031,22,FEMALE,Bengaluru,Looking for Job,Government Employee,email_marketing
31,USR1032,25,MALE,Bengaluru,Looking for Job,Government Employee,email_marketing
32,USR1033,18,FEMALE,Bengaluru,B.Tech,Government Employee,social_media
33,USR1034,16,MALE,Bengaluru,Intermediate,Government Employee,social_media
34,USR1035,20,MALE,Visakhapatnam,B.Tech,Government Employee,email_marketing
35,USR1036,20,MALE,Visakhapatnam,B.Tech,Government Employee,SEO
36,USR1037,21,FEMALE,Kochi,Degree,Government Employee,SEO
