,id_lead,data_demo_assistida,linguagem,porcentagem_assistida
0,USR1002,1/4/2022,Telugu,42
1,USR1003,1/7/2022,Telugu,81
2,USR1004,1/2/2022,Telugu,35
3,USR1005,1/3/2022,Hindi,38
4,USR1006,1/12/2022,Hindi,54
5,USR1007,1/11/2022,English,52
6,USR1008,1/8/2022,Telugu,41
7,USR1009,1/10/2022,Telugu,50
8,USR1010,1/12/2022,Telugu,48
9,USR1011,1/17/2022,Telugu,44
10,USR1012,1/16/2022,Telugu,46
11,USR1013,1/18/2022,Telugu,50
12,USR1014,1/18/2022,Telugu,51
13,USR1015,1/18/2022,Hindi,44
14,USR1016,2/21/2022,English,47
15,USR1017,2/19/2022,English,42
16,USR1018,2/20/2022,Hindi,40
17,USR1019,2/21/2022,Hindi,38
18,USR1020,2/21/2022,English,36
19,USR1021,1/2/2022,English,100
20,USR1022,1/4/2022,Telugu,5
21,USR1023,1/1/2022,Telugu,52
22,USR1024,1/2/2022,Telugu,53
23,USR1025,1/6/2022,English,8
24,USR1026,1/10/2022,English,10
25,USR1027,1/9/2022,English,11
26,USR1028,1/10/2022,Telugu,50
27,USR1029,1/10/2022,Telugu,14
28,USR1030,1/11/2022,Telugu,17
29,USR1031,1/17/2022,English,20
30,USR1032,1/16/2022,English,23
31,USR1033,1/21/2022,English,55
32,USR1034,1/19/2022,English,73
33,USR1035,1/17/2022,English,26
34,USR1036,2/20/2022,English,29
35,USR1037,2/22/2022,English,32
36,USR1038,2/21/2022,English,53
37,USR1039,2/21/2022,English,56
38,USR1040,2/25/2022,English,35
39,USR1041,1/3/2022,English,38
40,USR1042,1/1/2022,Hindi,41
41,USR1043,1/1/2022,English,44
42,USR1044,1/3/2022,English,59
43,USR1045,1/4/2022,English,47
44,USR1046,1/10/2022,English,50
45,USR1047,1/8/2022,Hindi,55
46,USR1050,1/11/2022,English,62
47,USR1051,1/18/2022,English,60
48,USR1052,1/17/2022,English,65
49,USR1053,1/19/2022,English,65
50,USR1055,1/18/2022,English,70
51,USR1057,2/23/2022,English,74
52,USR1058,2/20/2022,English,75
53,USR1062,1/7/2022,English,75
54,USR1063,1/1/2022,English,68
55,USR1065,1/6/2022,Hindi,40
56,USR1067,1/10/2022,English,85
57,USR1070,1/11/2022,English,71
58,USR1071,1/18/2022,Hindi,86
59,USR1072,1/17/2022,Hindi,87
60,USR1073,1/19/2022,English,88
61,USR1075,1/18/2022,English,44
62,USR1077,2/21/2022,English,100
63,USR1078,2/22/2022,English,89
64,USR1082,1/5/2022,English,2
65,USR1083,1/8/2022,English,90
66,USR1087,1/10/2022,English,74
67,USR1090,1/11/2022,English,91
68,USR1091,1/20/2022,English,92
69,USR1092,1/21/2022,English,77
70,USR1093,1/26/2022,Telugu,80
71,USR1095,1/18/2022,Hindi,62
72,USR1097,2/23/2022,English,63
73,USR1098,2/25/2022,English,81
74,USR1102,1/5/2022,English,83
75,USR1103,1/1/2022,Telugu,41
76,USR1105,1/6/2022,Hindi,86
77,USR1107,1/10/2022,English,25
78,USR1110,1/13/2022,English,2
79,USR1111,1/19/2022,Telugu,3
80,USR1112,1/17/2022,Telugu,4
81,USR1113,1/19/2022,Telugu,30
82,USR1115,1/18/2022,Telugu,35
83,USR1117,2/23/2022,Telugu,35
84,USR1118,2/21/2022,Telugu,8
85,USR1122,1/4/2022,Telugu,11
86,USR1123,1/3/2022,Hindi,40
87,USR1127,1/12/2022,English,14
88,USR1130,1/18/2022,Hindi,17
89,USR1131,1/17/2022,English,45
90,USR1132,1/16/2022,English,20
91,USR1133,1/18/2022,English,64
92,USR1135,1/17/2022,Telugu,65
93,USR1137,2/22/2022,Hindi,23
94,USR1138,2/20/2022,English,510
95,USR1142,1/6/2022,English,26
96,USR1143,1/1/2022,Telugu,55
97,USR1145,1/5/2022,Telugu,60
98,USR1147,1/9/2022,Telugu,29
99,USR1150,1/13/2022,Telugu,70
100,USR1151,1/18/2022,Telugu,37
101,USR1152,1/16/2022,English,66
102,USR1153,1/20/2022,Telugu,67
103,USR1155,1/17/2022,Hindi,41
104,USR1157,2/22/2022,English,68
105,USR1158,2/20/2022,English,45
106,USR1162,1/6/2022,Telugu,49
107,USR1163,1/8/2022,Telugu,53
108,USR1167,1/10/2022,Telugu,57
109,USR1170,1/12/2022,Telugu,65
110,USR1171,1/18/2022,Telugu,70
111,USR1172,1/20/2022,Telugu,69
112,USR1173,1/19/2022,Telugu,70
113,USR1175,1/17/2022,Hindi,61
114,USR1177,2/23/2022,English,65
115,USR1178,2/25/2022,Hindi,35
116,USR1182,1/6/2022,Hindi,60
117,USR1183,1/3/2022,English,70
118,USR1185,1/5/2022,English,75
119,USR1187,1/10/2022,Telugu,80
120,USR1190,1/11/2022,Telugu,85
121,USR1191,1/17/2022,Telugu,85
122,USR1192,1/17/2022,English,90
123,USR1193,1/20/2022,English,95
124,USR1195,1/17/2022,English,100
125,USR1197,2/22/2022,Telugu,90
126,USR1198,2/21/2022,Telugu,11
127,USR1202,1/3/2022,Telugu,15
128,USR1203,1/3/2022,English,12
129,USR1207,1/12/2022,English,13
130,USR1210,1/16/2022,English,71
131,USR1211,1/26/2022,English,72
132,USR1212,1/26/2022,English,19
