,id_lead,motivo_nao_demo,motivo_nao_consideracao,motivo_nao_conversao
0,USR1001,No time for student,sem_info,sem_info
1,USR1003,sem_info,No time for student,sem_info
2,USR1004,sem_info,Wants offline classes,sem_info
3,USR1005,sem_info,Can't afford,sem_info
4,USR1006,sem_info,Student not interested in domain,sem_info
5,USR1008,sem_info,Will join in final year,sem_info
6,USR1009,sem_info,Student not interested in domain,sem_info
7,USR1010,sem_info,Will join in final year,sem_info
8,USR1014,sem_info,Wants offline classes,sem_info
9,USR1015,sem_info,Wants offline classes,sem_info
10,USR1016,sem_info,Can't afford,sem_info
11,USR1018,sem_info,Can't afford,sem_info
12,USR1019,sem_info,Can't afford,sem_info
13,USR1020,sem_info,Wants offline classes,sem_info
14,USR1021,sem_info,Student not interested in domain,sem_info
15,USR1024,sem_info,Can't afford,sem_info
16,USR1026,sem_info,No time for student,sem_info
17,USR1027,sem_info,sem_info,Can't afford
18,USR1028,sem_info,Wants offline classes,sem_info
19,USR1029,sem_info,Can't afford,sem_info
20,USR1030,sem_info,Student not interested in domain,sem_info
21,USR1034,sem_info,Can't afford,sem_info
22,USR1035,sem_info,No time for student,sem_info
23,USR1036,sem_info,Student not interested in domain,sem_info
24,USR1038,sem_info,Can't afford,sem_info
25,USR1039,sem_info,Can't afford,sem_info
26,USR1040,sem_info,Wants offline classes,sem_info
27,USR1041,sem_info,Can't afford,sem_info
28,USR1043,sem_info,Wants offline classes,sem_info
29,USR1044,sem_info,Can't afford,sem_info
30,USR1045,sem_info,Can't afford,sem_info
31,USR1046,sem_info,Can't afford,sem_info
32,USR1048,Student not interested in domain,sem_info,sem_info
33,USR1049,No time for student,sem_info,sem_info
34,USR1050,sem_info,Can't afford,sem_info
35,USR1054,Wants offline classes,sem_info,sem_info
36,USR1055,sem_info,Wants offline classes,sem_info
37,USR1056,Can't afford,sem_info,sem_info
38,USR1058,sem_info,Wants offline classes,sem_info
39,USR1059,Student not interested in domain,sem_info,sem_info
40,USR1060,No time for student,sem_info,sem_info
41,USR1061,Wants offline classes,sem_info,sem_info
42,USR1064,Can't afford,sem_info,sem_info
43,USR1065,sem_info,sem_info,Can't afford
44,USR1066,Student not interested in domain,sem_info,sem_info
45,USR1067,sem_info,sem_info,Can't afford
46,USR1068,No time for student,sem_info,sem_info
47,USR1069,Can't afford,sem_info,sem_info
48,USR1070,sem_info,Can't afford,sem_info
49,USR1071,sem_info,sem_info,Can't afford
50,USR1074,Wants offline classes,sem_info,sem_info
51,USR1075,sem_info,Student not interested in domain,sem_info
52,USR1076,Wants offline classes,sem_info,sem_info
53,USR1077,sem_info,sem_info,Can't afford
54,USR1078,sem_info,Can't afford,sem_info
55,USR1079,Wants offline classes,sem_info,sem_info
56,USR1080,Wants offline classes,sem_info,sem_info
57,USR1081,Wants offline classes,sem_info,sem_info
58,USR1082,sem_info,sem_info,Will join in final year
59,USR1083,sem_info,Wants offline classes,sem_info
60,USR1084,Can't afford,sem_info,sem_info
61,USR1085,Student not interested in domain,sem_info,sem_info
62,USR1086,No time for student,sem_info,sem_info
63,USR1087,sem_info,sem_info,Will join in final year
64,USR1088,Wants offline classes,sem_info,sem_info
65,USR1089,Student not interested in domain,sem_info,sem_info
66,USR1090,sem_info,Wants offline classes,sem_info
67,USR1091,sem_info,sem_info,Will join in final year
68,USR1094,Wants offline classes,sem_info,sem_info
69,USR1095,sem_info,Can't afford,sem_info
70,USR1096,No time for student,sem_info,sem_info
71,USR1097,sem_info,sem_info,Will join in final year
72,USR1098,sem_info,Student not interested in domain,sem_info
73,USR1099,Wants offline classes,sem_info,sem_info
74,USR1100,Can't afford,sem_info,sem_info
75,USR1101,Student not interested in domain,sem_info,sem_info
76,USR1104,No time for student,sem_info,sem_info
77,USR1105,sem_info,sem_info,Will join in final year
78,USR1106,Wants offline classes,sem_info,sem_info
79,USR1107,sem_info,sem_info,Will join in final year
80,USR1108,Can't afford,sem_info,sem_info
81,USR1109,Student not interested in domain,sem_info,sem_info
82,USR1110,sem_info,No time for student,sem_info
83,USR1111,sem_info,sem_info,Will join in final year
84,USR1114,Wants offline classes,sem_info,sem_info
85,USR1115,sem_info,Can't afford,sem_info
86,USR1117,sem_info,sem_info,No time for student
87,USR1118,sem_info,Wants offline classes,sem_info
88,USR1119,Can't afford,sem_info,sem_info
89,USR1120,Wants offline classes,sem_info,sem_info
90,USR1121,No time for student,sem_info,sem_info
91,USR1122,sem_info,sem_info,No time for student
92,USR1123,sem_info,Can't afford,sem_info
93,USR1124,Can't afford,sem_info,sem_info
94,USR1125,Can't afford,sem_info,sem_info
95,USR1126,Student not interested in domain,sem_info,sem_info
96,USR1127,sem_info,sem_info,No time for student
97,USR1128,No time for student,sem_info,sem_info
98,USR1129,Can't afford,sem_info,sem_info
99,USR1130,sem_info,Student not interested in domain,sem_info
100,USR1131,sem_info,sem_info,No time for student
101,USR1134,Wants offline classes,sem_info,sem_info
