,id_gestor_vendas_senior,id_gestor_vendas_junior,data_atribuicao,ciclo,id_lead
0,SNR501MG,JNR1001MG,1/1/2022,1,USR1001
1,SNR501MG,JNR1001MG,1/1/2022,1,USR1002
2,SNR501MG,JNR1001MG,1/1/2022,1,USR1003
3,SNR501MG,JNR1001MG,1/1/2022,1,USR1004
4,SNR501MG,JNR1001MG,1/1/2022,1,USR1005
5,SNR501MG,JNR1001MG,1/8/2022,2,USR1006
6,SNR501MG,JNR1001MG,1/8/2022,2,USR1007
7,SNR501MG,JNR1001MG,1/8/2022,2,USR1008
8,SNR501MG,JNR1001MG,1/8/2022,2,USR1009
9,SNR501MG,JNR1001MG,1/8/2022,2,USR1010
10,SNR501MG,JNR1001MG,1/15/2022,3,USR1011
11,SNR501MG,JNR1001MG,1/15/2022,3,USR1012
12,SNR501MG,JNR1001MG,1/15/2022,3,USR1013
13,SNR501MG,JNR1001MG,1/15/2022,3,USR1014
14,SNR501MG,JNR1001MG,1/15/2022,3,USR1015
15,SNR501MG,JNR1001MG,2/19/2022,4,USR1016
16,SNR501MG,JNR1001MG,2/19/2022,4,USR1017
17,SNR501MG,JNR1001MG,2/19/2022,4,USR1018
18,SNR501MG,JNR1001MG,2/19/2022,4,USR1019
19,SNR501MG,JNR1001MG,2/19/2022,4,USR1020
20,SNR501MG,JNR1002MG,1/1/2022,1,USR1021
21,SNR501MG,JNR1002MG,1/1/2022,1,USR1022
22,SNR501MG,JNR1002MG,1/1/2022,1,USR1023
23,SNR501MG,JNR1002MG,1/1/2022,1,USR1024
24,SNR501MG,JNR1002MG,1/1/2022,1,USR1025
25,SNR501MG,JNR1002MG,1/8/2022,2,USR1026
26,SNR501MG,JNR1002MG,1/8/2022,2,USR1027
27,SNR501MG,JNR1002MG,1/8/2022,2,USR1028
28,SNR501MG,JNR1002MG,1/8/2022,2,USR1029
29,SNR501MG,JNR1002MG,1/8/2022,2,USR1030
30,SNR501MG,JNR1002MG,1/15/2022,3,USR1031
31,SNR501MG,JNR1002MG,1/15/2022,3,USR1032
32,SNR501MG,JNR1002MG,1/15/2022,3,USR1033
33,SNR501MG,JNR1002MG,1/15/2022,3,USR1034
34,SNR501MG,JNR1002MG,1/15/2022,3,USR1035
35,SNR501MG,JNR1002MG,2/19/2022,4,USR1036
36,SNR501MG,JNR1002MG,2/19/2022,4,USR1037
37,SNR501MG,JNR1002MG,2/19/2022,4,USR1038
38,SNR501MG,JNR1002MG,2/19/2022,4,USR1039
39,SNR501MG,JNR1002MG,2/19/2022,4,USR1040
40,SNR501MG,JNR1003MG,1/1/2022,1,USR1041
41,SNR501MG,JNR1003MG,1/1/2022,1,USR1042
42,SNR501MG,JNR1003MG,1/1/2022,1,USR1043
43,SNR501MG,JNR1003MG,1/1/2022,1,USR1044
44,SNR501MG,JNR1003MG,1/1/2022,1,USR1045
45,SNR501MG,JNR1003MG,1/8/2022,2,USR1046
46,SNR501MG,JNR1003MG,1/8/2022,2,USR1047
47,SNR501MG,JNR1003MG,1/8/2022,2,USR1048
48,SNR501MG,JNR1003MG,1/8/2022,2,USR1049
49,SNR501MG,JNR1003MG,1/8/2022,2,USR1050
50,SNR501MG,JNR1003MG,1/15/2022,3,USR1051
51,SNR501MG,JNR1003MG,1/15/2022,3,USR1052
52,SNR501MG,JNR1003MG,1/15/2022,3,USR1053
53,SNR501MG,JNR1003MG,1/15/2022,3,USR1054
54,SNR501MG,JNR1003MG,1/15/2022,3,USR1055
55,SNR501MG,JNR1003MG,2/19/2022,4,USR1056
56,SNR501MG,JNR1003MG,2/19/2022,4,USR1057
57,SNR501MG,JNR1003MG,2/19/2022,4,USR1058
58,SNR501MG,JNR1003MG,2/19/2022,4,USR1059
59,SNR501MG,JNR1003MG,2/19/2022,4,USR1060
60,SNR501MG,JNR1004MG,1/1/2022,1,USR1061
61,SNR501MG,JNR1004MG,1/1/2022,1,USR1062
62,SNR501MG,JNR1004MG,1/1/2022,1,USR1063
63,SNR501MG,JNR1004MG,1/1/2022,1,USR1064
64,SNR501MG,JNR1004MG,1/1/2022,1,USR1065
65,SNR501MG,JNR1004MG,1/8/2022,2,USR1066
66,SNR501MG,JNR1004MG,1/8/2022,2,USR1067
67,SNR501MG,JNR1004MG,1/8/2022,2,USR1068
68,SNR501MG,JNR1004MG,1/8/2022,2,USR1069
69,SNR501MG,JNR1004MG,1/8/2022,2,USR1070
70,SNR501MG,JNR1004MG,1/15/2022,3,USR1071
71,SNR501MG,JNR1004MG,1/15/2022,3,USR1072
72,SNR501MG,JNR1004MG,1/15/2022,3,USR1073
73,SNR501MG,JNR1004MG,1/15/2022,3,USR1074
74,SNR501MG,JNR1004MG,1/15/2022,3,USR1075
75,SNR501MG,JNR1004MG,2/19/2022,4,USR1076
76,SNR501MG,JNR1004MG,2/19/2022,4,USR1077
77,SNR501MG,JNR1004MG,2/19/2022,4,USR1078
78,SNR501MG,JNR1004MG,2/19/2022,4,USR1079
79,SNR501MG,JNR1004MG,2/19/2022,4,USR1080
80,SNR502MG,JNR1005MG,1/1/2022,1,USR1081
81,SNR502MG,JNR1005MG,1/1/2022,1,USR1082
82,SNR502MG,JNR1005MG,1/1/2022,1,USR1083
83,SNR502MG,JNR1005MG,1/1/2022,1,USR1084
84,SNR502MG,JNR1005MG,1/1/2022,1,USR1085
85,SNR502MG,JNR1005MG,1/8/2022,2,USR1086
86,SNR502MG,JNR1005MG,1/8/2022,2,USR1087
87,SNR502MG,JNR1005MG,1/8/2022,2,USR1088
88,SNR502MG,JNR1005MG,1/8/2022,2,USR1089
89,SNR502MG,JNR1005MG,1/8/2022,2,USR1090
90,SNR502MG,JNR1005MG,1/15/2022,3,USR1091
91,SNR502MG,JNR1005MG,1/15/2022,3,USR1092
92,SNR502MG,JNR1005MG,1/15/2022,3,USR1093
93,SNR502MG,JNR1005MG,1/15/2022,3,USR1094
94,SNR502MG,JNR1005MG,1/15/2022,3,USR1095
95,SNR502MG,JNR1005MG,2/19/2022,4,USR1096
96,SNR502MG,JNR1005MG,2/19/2022,4,USR1097
97,SNR502MG,JNR1005MG,2/19/2022,4,USR1098
98,SNR502MG,JNR1005MG,2/19/2022,4,USR1099
99,SNR502MG,JNR1005MG,2/19/2022,4,USR1100
100,SNR502MG,JNR1006MG,1/1/2022,1,USR1101
101,SNR502MG,JNR1006MG,1/1/2022,1,USR1102
102,SNR502MG,JNR1006MG,1/1/2022,1,USR1103
103,SNR502MG,JNR1006MG,1/1/2022,1,USR1104
104,SNR502MG,JNR1006MG,1/1/2022,1,USR1105
105,SNR502MG,JNR1006MG,1/8/2022,2,USR1106
106,SNR502MG,JNR1006MG,1/8/2022,2,USR1107
107,SNR502MG,JNR1006MG,1/8/2022,2,USR1108
108,SNR502MG,JNR1006MG,1/8/2022,2,USR1109
109,SNR502MG,JNR1006MG,1/8/2022,2,USR1110
110,SNR502MG,JNR1006MG,1/15/2022,3,USR1111
111,SNR502MG,JNR1006MG,1/15/2022,3,USR1112
112,SNR502MG,JNR1006MG,1/15/2022,3,USR1113
113,SNR502MG,JNR1006MG,1/15/2022,3,USR1114
114,SNR502MG,JNR1006MG,1/15/2022,3,USR1115
115,SNR502MG,JNR1006MG,2/19/2022,4,USR1116
116,SNR502MG,JNR1006MG,2/19/2022,4,USR1117
117,SNR502MG,JNR1006MG,2/19/2022,4,USR1118
118,SNR502MG,JNR1006MG,2/19/2022,4,USR1119
119,SNR502MG,JNR1006MG,2/19/2022,4,USR1120
120,SNR502MG,JNR1007MG,1/1/2022,1,USR1121
121,SNR502MG,JNR1007MG,1/1/2022,1,USR1122
122,SNR502MG,JNR1007MG,1/1/2022,1,USR1123
123,SNR502MG,JNR1007MG,1/1/2022,1,USR1124
124,SNR502MG,JNR1007MG,1/1/2022,1,USR1125
125,SNR502MG,JNR1007MG,1/8/2022,2,USR1126
126,SNR502MG,JNR1007MG,1/8/2022,2,USR1127
127,SNR502MG,JNR1007MG,1/8/2022,2,USR1128
128,SNR502MG,JNR1007MG,1/8/2022,2,USR1129
129,SNR502MG,JNR1007MG,1/8/2022,2,USR1130
130,SNR502MG,JNR1007MG,1/15/2022,3,USR1131
131,SNR502MG,JNR1007MG,1/15/2022,3,USR1132
132,SNR502MG,JNR1007MG,1/15/2022,3,USR1133
133,SNR502MG,JNR1007MG,1/15/2022,3,USR1134
134,SNR502MG,JNR1007MG,1/15/2022,3,USR1135
135,SNR502MG,JNR1007MG,2/19/2022,4,USR1136
136,SNR502MG,JNR1007MG,2/19/2022,4,USR1137
137,SNR502MG,JNR1007MG,2/19/2022,4,USR1138
138,SNR502MG,JNR1007MG,2/19/2022,4,USR1139
139,SNR502MG,JNR1007MG,2/19/2022,4,USR1140
140,SNR502MG,JNR1008MG,1/1/2022,1,USR1141
141,SNR502MG,JNR1008MG,1/1/2022,1,USR1142
142,SNR502MG,JNR1008MG,1/1/2022,1,USR1143
143,SNR502MG,JNR1008MG,1/1/2022,1,USR1144
144,SNR502MG,JNR1008MG,1/1/2022,1,USR1145
145,SNR502MG,JNR1008MG,1/8/2022,2,USR1146
146,SNR502MG,JNR1008MG,1/8/2022,2,USR1147
147,SNR502MG,JNR1008MG,1/8/2022,2,USR1148
148,SNR502MG,JNR1008MG,1/8/2022,2,USR1149
149,SNR502MG,JNR1008MG,1/8/2022,2,USR1150
150,SNR502MG,JNR1008MG,1/15/2022,3,USR1151
151,SNR502MG,JNR1008MG,1/15/2022,3,USR1152
152,SNR502MG,JNR1008MG,1/15/2022,3,USR1153
153,SNR502MG,JNR1008MG,1/15/2022,3,USR1154
154,SNR502MG,JNR1008MG,1/15/2022,3,USR1155
155,SNR502MG,JNR1008MG,2/19/2022,4,USR1156
156,SNR502MG,JNR1008MG,2/19/2022,4,USR1157
157,SNR502MG,JNR1008MG,2/19/2022,4,USR1158
158,SNR502MG,JNR1008MG,2/19/2022,4,USR1159
159,SNR502MG,JNR1008MG,2/19/2022,4,USR1160
160,SNR503MG,JNR1009MG,1/1/2022,1,USR1161
161,SNR503MG,JNR1009MG,1/1/2022,1,USR1162
162,SNR503MG,JNR1009MG,1/1/2022,1,USR1163
163,SNR503MG,JNR1009MG,1/1/2022,1,USR1164
164,SNR503MG,JNR1009MG,1/1/2022,1,USR1165
165,SNR503MG,JNR1009MG,1/8/2022,2,USR1166
166,SNR503MG,JNR1009MG,1/8/2022,2,USR1167
167,SNR503MG,JNR1009MG,1/8/2022,2,USR1168
168,SNR503MG,JNR1009MG,1/8/2022,2,USR1169
169,SNR503MG,JNR1009MG,1/8/2022,2,USR1170
170,SNR503MG,JNR1009MG,1/15/2022,3,USR1171
171,SNR503MG,JNR1009MG,1/15/2022,3,USR1172
172,SNR503MG,JNR1009MG,1/15/2022,3,USR1173
173,SNR503MG,JNR1009MG,1/15/2022,3,USR1174
174,SNR503MG,JNR1009MG,1/15/2022,3,USR1175
175,SNR503MG,JNR1009MG,2/19/2022,4,USR1176
